Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Wayne Ellington,SG,32,NYK,36,1,15.5,1.7,4.8,0.273,1.4,4,0.308,0.3,0.9,0.554,0.295,0.3,0.4,0.779,0.1,1.7,1.8,1.2,0.4,0.1,0.5,1.1,5.1
Kadeem Allen,PG,27,NYK,10,0,11.7,1.9,4.4,0.471,0.5,1.6,0.267,1.4,2.8,0.594,0.514,0.7,1.1,0.89,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5
Ignas Brazdeikis,SF,21,NYK,9,0,5.9,0.7,2.4,0.469,0.1,1,0.34,0.6,1.4,0.688,0.534,0.4,0.6,0.838,0.2,0.3,0.6,0.4,0,0.1,0.2,0.3,1.9
Shai Gilgeous-Alexander,SG,21,OKC,70,70,34.7,6.8,14.5,0.438,1.2,3.6,0.348,5.6,10.9,0.485,0.547,4.1,5.1,0.832,0.7,5.2,5.9,3.3,1.1,0.7,1.9,1.7,19
Dennis Schröder,SG,26,OKC,65,2,30.8,7,14.8,0.489,1.9,5,0.286,5,9.8,0.479,0.552,3,3.6,0.804,0.3,3.3,3.6,4,0.7,0.2,2.6,2.2,18.9
Danilo Gallinari,PF,31,OKC,62,62,29.6,5.8,13.2,0.592,2.9,7.1,0.293,2.9,6.1,0.556,0.593,4.3,4.8,0.674,0.5,4.6,5.2,1.9,0.7,0.1,1.2,1.2,18.7
Chris Paul,PG,34,OKC,70,70,31.5,6.2,12.7,0.684,1.6,4.3,0.341,4.6,8.3,0.432,0.686,3.6,4,0.653,0.4,4.6,5,6.7,1.6,0.2,2.3,2.3,17.6
Steven Adams,C,26,OKC,63,63,26.7,4.5,7.6,0.446,0,0,0.346,4.5,7.5,0.5,0.473,1.9,3.2,0.655,3.3,6,9.3,2.3,0.8,1.1,1.5,1.9,10.9
Nerlens Noel,C,25,OKC,61,7,18.5,3,4.4,0.394,0,0,0,3,4.4,0.558,0.463,1.3,1.7,1,1.5,3.4,4.9,0.9,1,1.5,1.1,2.7,7.4
Hamidou Diallo,SF,21,OKC,46,3,19.5,2.9,6.4,0.468,0.3,1.2,0.25,2.5,5.2,0.333,0.559,0.8,1.4,0.9,1,2.7,3.6,0.8,0.8,0.2,1.1,2.2,6.9
Luguentz Dort,SF,20,OKC,36,28,22.8,2.4,6.1,0.394,0.8,2.8,0.35,1.6,3.3,0.458,0.472,1.2,1.5,0.5,0.7,1.6,2.3,0.8,0.9,0.1,0.6,2.7,6.8
Abdel Nader,SF,26,OKC,55,6,15.8,2.2,4.8,0.407,0.9,2.3,0.333,1.4,2.5,0.154,0.55,0.9,1.2,0.333,0.3,1.6,1.8,0.7,0.4,0.4,0.8,1.4,6.3
Darius Bazley,PF,19,OKC,61,9,18.5,2,5.2,0.355,0.8,2.3,0.5,1.2,2.9,0.5,0.466,0.7,1,0.5,0.5,3.5,4,0.7,0.4,0.7,0.7,0.9,5.6
Mike Muscala,C,28,OKC,47,2,12.2,1.6,4,0.276,1.1,3,0.143,0.5,1,0.571,0.328,0.4,0.5,0.357,0.3,2,2.3,0.9,0.2,0.3,0.4,1.2,4.8
Terrance Ferguson,SF,21,OKC,56,38,22.4,1.4,3.9,0.344,0.9,3,0.25,0.5,0.9,0,0.384,0.3,0.4,0.807,0.4,0.9,1.3,0.9,0.5,0.3,0.6,2.8,3.9
Andre Roberson,SF,28,OKC,7,0,12.4,1.1,4.1,0.2,0.4,2,0.331,0.7,2.1,0.531,0.267,0.1,0.3,0.806,1,2.9,3.9,0.6,0.1,0.4,0.3,1.9,2.9
Deonte Burton,SF,26,OKC,39,0,9.1,1.1,3.2,0.4,0.3,1.4,0.367,0.8,1.8,0.527,0.45,0.2,0.4,0.621,0.2,1.3,1.5,0.4,0.2,0.3,0.5,0.9,2.7
Devon Hall,PG,24,OKC,11,0,7.4,0.5,2.7,0.259,0.4,1.5,0.286,0.2,1.2,0.48,0.315,0.4,0.7,0.809,0.2,0.5,0.6,1.2,0.4,0.1,0.5,0.5,1.8
Nikola Vučević,C,29,ORL,62,62,32.2,8,16.7,0.403,1.6,4.7,0.402,6.4,12,0.438,0.508,2.1,2.7,0.785,2.3,8.6,10.9,3.6,0.9,0.8,1.4,2.2,19.6
Evan Fournier,SF,27,ORL,66,66,31.5,6.6,14.1,0.437,2.6,6.6,0.43,4,7.5,0.6,0.484,2.7,3.3,0.917,0.3,2.3,2.6,3.2,1.1,0.2,1.9,2.4,18.5
Terrence Ross,SG,28,ORL,69,0,27.4,4.9,12.3,0.465,2.6,7.3,0.333,2.4,5,0.481,0.488,2.3,2.7,0.811,0.2,3,3.2,1.2,1.1,0.3,1,1.6,14.7
Aaron Gordon,PF,24,ORL,62,62,32.5,5.4,12.4,0.47,1.2,3.8,0.369,4.2,8.5,0.457,0.518,2.4,3.6,0.722,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2,14.4
Markelle Fultz,PG,21,ORL,72,60,27.7,5,10.7,0.399,0.5,1.9,0.421,4.5,8.8,0.531,0.475,1.6,2.2,0.787,0.6,2.7,3.3,5.1,1.3,0.2,2,2,12.1
Jonathan Isaac,PF,22,ORL,34,32,28.8,4.6,9.8,0.451,0.9,2.8,0.349,3.6,7,0.514,0.519,1.8,2.3,0.83,1.7,5.1,6.8,1.4,1.6,2.3,1.4,2.4,11.9
D.J. Augustin,PG,32,ORL,57,13,24.9,3.2,8.1,0.427,1.2,3.5,0.386,2,4.6,0.32,0.469,2.8,3.2,0.61,0.4,1.8,2.1,4.6,0.6,0,1.5,1.3,10.5
James Ennis,SG,29,ORL,20,18,24.5,3,6.7,0.416,0.9,3.2,0.357,2.1,3.5,0.714,0.476,1.6,1.9,0.55,1.2,3.6,4.8,1.1,0.6,0.4,1.4,2.6,8.5
Michael Carter-Williams,SG,28,ORL,45,0,18.5,2.5,5.8,0.462,0.5,1.7,0.259,2,4.1,0.261,0.526,1.8,2.1,0.75,1,2.2,3.3,2.4,1.1,0.5,1.2,1.9,7.2
Wesley Iwundu,SF,25,ORL,52,21,18.3,1.9,4.5,0.51,0.5,1.6,0.333,1.3,2.9,0.389,0.51,1.5,1.9,0.5,0.5,2.1,2.5,1.2,0.5,0.3,0.5,1.5,5.8
Mo Bamba,C,21,ORL,62,0,14.2,2.1,4.6,0.291,0.6,1.7,0,1.5,2.9,0.455,0.343,0.5,0.7,0.5,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4
Khem Birch,C,27,ORL,48,24,19.2,1.5,3,0.419,0,0,0,1.5,3,0.364,0.561,1.4,2.1,0,1.9,2.7,4.6,1,0.4,0.5,0.6,1.9,4.4
Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,0.281,0.5,2,0,0.9,2.8,0.357,0.328,1.1,1.6,0.919,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,4.3
Gary Clark,SF,25,ORL,24,5,14.8,1.3,3.1,0.441,0.9,2.5,0.354,0.4,0.6,0.517,0.559,0.1,0.1,0.78,1.1,1.8,2.9,0.2,0.2,0.6,0.3,1,3.6
B.J. Johnson,SF,24,ORL,10,0,8.3,0.9,3.2,0.333,0.3,0.9,0.352,0.6,2.3,0.517,0.361,0.9,1,0.753,0.3,1.2,1.5,0.3,0.3,0,0.6,0.3,3
Melvin Frazier,SG,23,ORL,19,0,6.6,0.8,1.8,0.333,0.4,0.8,0.231,0.4,0.9,0.583,0.367,0.1,0.2,0.863,0.1,0.4,0.5,0.2,0.5,0.1,0.3,0.6,2.1
Vic Law,PF,24,ORL,8,0,7.8,0.8,2.3,0.357,0.1,0.9,0.361,0.6,1.4,0.486,0.357,0.3,0.8,0.747,0.3,1.1,1.4,0.4,0.3,0,0.3,0.8,1.9
Josh Magette,PG,30,ORL,8,0,4.8,0.6,1.9,0.477,0.1,0.5,0.351,0.5,1.4,0.5,0.512,0.1,0.3,0.857,0.1,0.6,0.8,0.6,0.4,0.1,0.6,0.5,1.5
Joel Embiid,C,25,PHI,51,51,29.5,7.5,15.7,0.58,1.1,3.4,0.357,6.4,12.3,0.478,0.581,6.9,8.5,0.678,2.8,8.9,11.6,3,0.9,1.3,3.1,3.4,23
Tobias Harris,PF,27,PHI,72,72,34.3,7.7,16.3,0.43,1.8,5,0.331,5.9,11.3,0.535,0.496,2.4,3,0.844,1,5.9,6.9,3.2,0.7,0.6,1.4,2.3,19.6
Ben Simmons,PG,23,PHI,57,57,35.4,6.6,11.4,0.461,0,0.1,0.361,6.5,11.2,0.603,0.557,3.2,5.2,0.807,2,5.8,7.8,8,2.1,0.6,3.5,3.3,16.4
Josh Richardson,SG,26,PHI,55,53,30.8,5.1,11.7,0.45,1.5,4.5,0.39,3.5,7.2,0.519,0.52,2.1,2.6,0.75,0.7,2.4,3.2,2.9,0.9,0.7,1.9,2.5,13.7
Alec Burks,SG,28,PHI,18,1,20.2,4.3,9.3,0.43,1.8,4.3,0.289,2.5,5,0.483,0.557,1.9,2.3,0.852,0.6,2.5,3.1,2.1,0.7,0,0.8,1.2,12.2
Al Horford,C,33,PHI,67,61,30.2,4.8,10.6,0.484,1.5,4.2,0.425,3.3,6.4,0.525,0.588,0.9,1.2,0.872,1.5,5.3,6.8,4,0.8,0.9,1.2,2.1,11.9
Furkan Korkmaz,SG,22,PHI,72,12,21.7,3.4,7.8,0.518,2,4.9,0.333,1.4,2.9,0.5,0.571,1.1,1.4,0.704,0.3,2.1,2.3,1.1,0.6,0.2,0.8,1.4,9.8
Shake Milton,SG,23,PHI,40,24,20.1,3.4,6.9,0.426,1.5,3.4,0.352,1.9,3.6,0.519,0.54,1.3,1.6,0.75,0.4,1.8,2.2,2.6,0.5,0.2,1.2,2.3,9.4
Glenn Robinson III,SF,26,PHI,14,4,19.3,3.1,6.1,0.465,0.6,1.9,0.28,2.5,4.1,0.603,0.528,0.8,0.9,1,1.1,2.1,3.1,0.8,0.6,0.1,0.4,1.3,7.7
Mike Scott,PF,31,PHI,68,11,17.8,2.2,5.1,0.442,1.2,3.2,0,1,2,0.167,0.524,0.4,0.5,1,1,2.7,3.6,0.8,0.3,0.1,0.4,1.4,6
Trey Burke,PG,27,PHI,25,0,13.2,2.4,5.1,0.455,0.6,1.5,0,1.7,3.6,0.532,0.532,0.5,0.7,1,0.6,0.8,1.4,2.1,0.3,0,0.5,0.8,5.9
James Ennis,SF,29,PHI,49,0,15.8,2,4.6,0.423,0.8,2.2,0,1.3,2.4,0.375,0.528,1,1.2,0.888,1,2.1,3.1,0.8,0.5,0.3,0.6,1.7,5.8
Raul Neto,PG,27,PHI,54,3,12.4,1.9,4.1,0.494,0.6,1.6,0,1.2,2.5,1,0.535,0.7,0.9,0.757,0.2,0.9,1.1,1.8,0.4,0.1,0.9,0.9,5.1
Matisse Thybulle,SG,22,PHI,65,14,19.8,1.7,4.1,0.25,0.9,2.4,0.401,0.9,1.7,0.549,0.333,0.4,0.6,0.886,0.7,1,1.6,1.2,1.4,0.7,0.8,2.2,4.7
Kyle O'Quinn,C,29,PHI,29,2,10.8,1.4,2.9,0.521,0.2,0.9,0.379,1.2,2,0.511,0.521,0.4,0.7,0.686,1.2,2.8,4,1.8,0.2,0.8,0.7,1.3,3.5
Marial Shayok,SG,24,PHI,4,0,7,0.8,3,0.273,0.5,1.5,0.2,0.3,1.5,0.553,0.273,0.8,1,0.845,0.3,1.5,1.8,0.3,0,0.3,0.8,1,2.8
Norvel Pelle,C,26,PHI,24,0,9.7,1,2,0.667,0,0,0.571,1,2,0.439,0.667,0.3,0.6,0.872,0.8,2.2,3,0.3,0.1,1.3,0.8,2.3,2.4
Zhaire Smith,SF,20,PHI,7,0,4.6,0.4,1.6,0.489,0,0.4,0.385,0.4,1.1,0.582,0.544,0.3,0.6,0.778,0,0.3,0.3,0.3,0.4,0,0.3,0.6,1.1
Jonah Bolden,C,24,PHI,4,0,3.5,0.5,0.8,0.452,0,0.3,0.4,0.5,0.5,0.462,0.517,0,0.5,0.822,0,0.3,0.3,0,0.3,0,0.5,1,1
Devin Booker,SG,23,PHO,70,70,35.9,9,18.3,0.546,2,5.7,0.493,6.9,12.6,0.568,0.548,6.7,7.3,0.826,0.4,3.8,4.2,6.5,0.7,0.3,3.8,3,26.6
Kelly Oubre Jr.,SF,24,PHO,56,55,34.5,6.7,14.8,0.415,1.9,5.5,0.418,4.7,9.3,0.53,0.471,3.4,4.4,0.806,1.2,5.3,6.4,1.5,1.3,0.7,1.5,3.4,18.7
Deandre Ayton,C,21,PHO,38,32,32.5,8.2,14.9,0.48,0.1,0.3,0.332,8.1,14.6,0.61,0.558,1.8,2.3,0.75,3.9,7.6,11.5,1.9,0.7,1.5,2.1,3.1,18.2
Ricky Rubio,PG,29,PHO,65,65,31,4.4,10.6,0.485,1.2,3.3,0.327,3.2,7.3,0.526,0.596,3,3.5,0.758,0.7,4,4.7,8.8,1.4,0.2,2.7,2.6,13
Aron Baynes,C,33,PHO,42,28,22.2,4.4,9.1,0.476,1.4,4,0.368,3,5.1,0.466,0.554,1.3,1.8,0.814,1.7,4,5.6,1.6,0.2,0.5,1.2,3.4,11.5
Cameron Payne,SG,25,PHO,8,0,22.9,4.1,8.5,0.45,1.9,3.6,0.231,2.3,4.9,0.402,0.516,0.8,0.9,0.684,0.5,3.4,3.9,3,1,0.3,1.4,2.5,10.9
Dario Šarić,PF,25,PHO,66,51,24.7,3.9,8.2,0.51,1.3,3.6,0.308,2.6,4.6,0.655,0.583,1.6,1.9,0.636,1.5,4.6,6.2,1.9,0.6,0.2,1.3,2.4,10.7
Frank Kaminsky,C,26,PHO,39,13,19.9,3.5,7.9,0.435,1.1,3.2,0.337,2.5,4.7,0.427,0.565,1.6,2.3,0.533,0.9,3.6,4.5,1.9,0.4,0.3,0.9,1.9,9.7
Mikal Bridges,SF,23,PHO,73,32,28,3.4,6.6,0.38,1,2.7,0.237,2.4,4,0.381,0.45,1.4,1.7,0.615,0.9,3.1,4,1.8,1.4,0.6,1,2.2,9.1
Cameron Johnson,PF,23,PHO,57,9,22,3.1,7.1,0.416,1.9,4.8,0,1.2,2.3,0.4,0.543,0.8,1,0.75,0.9,2.4,3.3,1.2,0.6,0.4,0.6,1.5,8.8
Tyler Johnson,PG,27,PHO,31,3,16.6,2.1,5.5,0.648,0.8,2.7,0,1.3,2.8,0.667,0.651,0.8,1,0.375,0.3,1.4,1.7,1.6,0.4,0.3,0.8,1.4,5.7
Jevon Carter,PG,24,PHO,58,2,16.3,1.7,4.2,0.398,1.1,2.5,0.417,0.7,1.7,0.333,0.467,0.4,0.5,0.705,0.5,1.5,2,1.4,0.8,0.3,0.6,1.5,4.9
Cheick Diallo,C,23,PHO,47,2,10.2,2,3,0.336,0,0.1,0.292,1.9,3,0.5,0.398,0.7,0.8,0.846,0.6,2.1,2.8,0.5,0.2,0.3,0.7,1.2,4.7
Elie Okobo,PG,22,PHO,55,3,13.1,1.3,3.3,0.25,0.5,1.3,0.394,0.9,2,0.524,0.25,0.9,1.3,0.741,0.3,1.3,1.6,2.1,0.4,0.1,0.7,1,4
Ty Jerome,SG,22,PHO,31,0,10.6,1.2,3.6,0.4,0.5,1.6,0.372,0.8,2,0.494,0.4,0.4,0.5,0.801,0.2,1.3,1.5,1.4,0.5,0.1,0.6,0.9,3.3
Jonah Bolden,C,24,PHO,3,0,11,0.7,2.7,0.2,0,1,0.381,0.7,1.7,0.525,0.2,0.7,0.7,0.806,1,1.7,2.7,0,0.7,0.7,0,2,2
Jalen Lecque,SG,19,PHO,5,0,6.4,0.8,2,0.25,0,0.8,0.182,0.8,1.2,0.622,0.25,0.4,0.4,0.788,0,0.4,0.4,0.4,0,0,0.4,0.6,2
Tariq Owens,PF,24,PHO,3,0,5,0.3,1.7,0.463,0,0.7,0.419,0.3,1,0.448,0.563,0.7,0.7,0.821,0.7,0.3,1,0,0.3,0,0,0.3,1.3
Damian Lillard,PG,29,POR,66,66,37.5,9.5,20.4,0.495,4.1,10.2,0.25,5.4,10.2,0.515,0.505,7,7.8,0.889,0.5,3.8,4.3,8,1.1,0.3,2.9,1.7,30
CJ McCollum,SG,28,POR,70,70,36.5,8.7,19.4,0.621,2.8,7.3,0,6,12.1,0.486,0.624,2,2.6,0.776,0.7,3.6,4.2,4.4,0.8,0.6,1.8,2.6,22.2
Jusuf Nurkić,C,25,POR,8,8,31.6,6.8,13.6,0.43,0.3,1.3,0.352,6.5,12.4,0.448,0.485,3.9,4.4,0.857,2.9,7.4,10.3,4,1.4,2,2.4,4.9,17.6
Hassan Whiteside,C,30,POR,67,61,30,6.5,10.5,0.491,0.1,0.1,0.352,6.4,10.4,0.368,0.597,2.4,3.6,0.778,3.9,9.7,13.5,1.2,0.4,2.9,1.8,2.9,15.5
Carmelo Anthony,PF,35,POR,58,58,32.8,5.8,13.5,0.506,1.5,3.9,0.667,4.3,9.6,0.51,0.608,2.3,2.8,1,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4
Trevor Ariza,SF,34,POR,21,21,33.4,3.7,7.6,0.444,1.6,4,0.197,2.1,3.5,0.582,0.571,2,2.2,0.708,0.6,4.1,4.8,2,1.6,0.4,1.3,2.3,11
Rodney Hood,SF,27,POR,21,21,29.5,4.1,8.2,0.399,1.7,3.4,0.304,2.5,4.8,0.486,0.469,1,1.3,0.821,0.5,3,3.4,1.5,0.8,0.2,0.9,2.2,11
Gary Trent Jr.,SF,21,POR,61,8,21.8,3.2,7.2,0.347,1.8,4.4,0.278,1.4,2.8,0.464,0.433,0.6,0.7,0.857,0.4,1.2,1.6,1,0.8,0.3,0.3,1.5,8.9
Anfernee Simons,SG,20,POR,70,4,20.7,3.1,7.7,0.471,1.1,3.2,0.31,2,4.4,0.554,0.522,1.1,1.3,0.833,0.4,1.8,2.2,1.4,0.4,0.1,0.9,1.9,8.3
Kent Bazemore,SF,30,POR,43,21,25.8,2.6,7.6,0.551,1.3,4,0.125,1.3,3.6,0.634,0.561,1.3,1.7,0.476,0.3,3.7,4,1.4,1,0.7,1.4,2.8,7.9
Zach Collins,PF,22,POR,11,11,26.4,2.9,6.2,0.422,0.6,1.7,0,2.3,4.5,0.517,0.477,0.5,0.7,0.6,2.3,4,6.3,1.5,0.5,0.5,1.3,3.3,7
Skal Labissière,C,23,POR,33,1,17.2,2.5,4.5,0.368,0.1,0.4,0,2.4,4.1,0.526,0.496,0.8,1,0.333,2,3.2,5.1,1.3,0.2,0.9,0.9,2.7,5.8
Mario Hezonja,PF,24,POR,53,4,16.4,1.7,4.1,0.43,0.5,1.5,0.133,1.3,2.6,0.4,0.477,0.9,1.1,0.5,0.6,2.9,3.5,0.9,0.7,0.2,0.8,2,4.8
Anthony Tolliver,PF,34,POR,33,9,16.8,1.3,3.5,0.605,0.9,2.7,0.257,0.4,0.8,0.535,0.605,0.4,0.6,0.5,0.8,2.5,3.3,0.9,0.2,0.3,0.6,1.6,3.9
Nassir Little,PF,19,POR,48,5,11.9,1.4,3.1,0.469,0.3,1.2,0.389,1.1,1.9,0.479,0.469,0.6,0.9,0.845,0.6,1.6,2.3,0.5,0.3,0.3,0.3,1.5,3.6
Caleb Swanigan,PF,22,POR,20,1,13.3,1.3,2.2,0.484,0,0.1,0.382,1.3,2.1,0.532,0.565,0.4,0.8,0.827,1.3,3.4,4.7,1.5,0.1,0.3,1.6,2.7,3
Jaylen Hoard,PF,20,POR,13,0,7.9,1.2,2.5,0.4,0,0.2,0.366,1.2,2.2,0.501,0.4,0.6,1,0.866,1.1,1.4,2.5,0.3,0.4,0,0.3,0.9,2.9
Wenyen Gabriel,PF,22,POR,19,1,9.2,0.8,1.6,0.48,0.3,0.6,0.388,0.5,1,0.51,0.513,0.5,0.6,0.853,0.9,1.3,2.2,0.3,0.4,0.3,0.6,1.7,2.3
De'Aaron Fox,PG,22,SAC,51,49,32,7.7,16,0.44,1.1,3.6,0.336,6.6,12.4,0.541,0.547,4.7,6.7,0.798,0.7,3.2,3.8,6.8,1.5,0.5,3.1,2.8,21.1
Buddy Hield,SG,27,SAC,72,44,30.8,6.9,16.1,0.46,3.8,9.6,0.591,3.2,6.6,0.437,0.525,1.6,1.9,0.882,0.8,3.8,4.6,3,0.9,0.2,2.3,2.3,19.2
Bogdan Bogdanović,SG,27,SAC,61,28,29,5.5,12.6,0.467,2.7,7.2,0.387,2.8,5.3,0.625,0.479,1.4,1.9,0.795,0.4,3,3.4,3.4,1,0.2,1.7,2.2,15.1
Harrison Barnes,PF,27,SAC,72,72,34.5,5.1,11,0.648,1.4,3.7,0.406,3.7,7.3,0.558,0.648,3,3.7,0.733,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,14.5
Marvin Bagley III,C,20,SAC,13,6,25.7,6,12.8,0.481,0.3,1.7,0.376,5.7,11.2,0.455,0.583,1.9,2.4,0.721,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2
Nemanja Bjelica,PF,31,SAC,72,67,27.9,4.4,9.1,0.583,1.9,4.4,1,2.5,4.6,0.667,0.597,1,1.2,0.465,1.5,4.8,6.4,2.8,0.9,0.6,1.4,3,11.5
Kent Bazemore,SF,30,SAC,25,0,23.1,3.5,8.3,0.554,1.1,2.9,0,2.4,5.4,0.589,0.554,2.2,3,0.75,0.6,4.3,4.9,1.3,1.2,0.4,1.2,3,10.3
Jabari Parker,PF,24,SAC,6,0,13.3,3.5,6,0.415,0.2,0.7,0.231,3.3,5.3,0.55,0.483,1.3,1.5,0.769,1.2,2.7,3.8,1.7,0.5,0.2,0.7,1,8.5
Harry Giles,C,21,SAC,46,17,14.5,3,5.5,0.388,0,0,0.2,3,5.4,0.505,0.518,0.8,1.1,0.769,0.9,3.2,4.1,1.3,0.5,0.4,1,2.6,6.9
Cory Joseph,PG,28,SAC,72,26,24.4,2.4,5.7,0.667,0.8,2.2,0.359,1.6,3.5,0.682,0.667,0.8,1,0.6,0.6,2,2.6,3.5,0.7,0.3,1.1,1.8,6.4
Trevor Ariza,SF,34,SAC,32,0,24.7,2,5.2,0.593,1.3,3.8,0.352,0.7,1.3,0.473,0.61,0.7,0.8,0.5,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2,6
Alex Len,C,26,SAC,15,3,15,2.3,3.9,0.42,0.1,0.2,0.399,2.2,3.7,1,0.484,1.1,1.6,0.857,2.1,4,6.1,0.5,0.2,1,1.1,2.3,5.9
Dewayne Dedmon,C,30,SAC,34,10,15.9,2,5,0.5,0.4,2.1,0.385,1.6,2.9,0.667,0.563,0.7,0.8,0.848,1.4,3.6,4.9,0.4,0.4,0.8,1.4,2.7,5.1
Yogi Ferrell,PG,26,SAC,50,0,10.6,1.6,3.8,0.417,0.5,1.6,0.39,1.1,2.2,0.5,0.47,0.7,0.8,0.843,0.1,0.9,1,1.4,0.4,0.1,0.6,0.8,4.4
DaQuan Jeffries,SG,22,SAC,13,0,10.8,1.5,3.1,0.353,0.4,1.4,0.388,1.2,1.7,0.5,0.382,0.4,0.5,0.718,0.2,1.2,1.4,0.5,0.3,0.1,0.2,1.5,3.8
Justin James,SF,23,SAC,36,0,6.4,1,2.3,0.4,0.3,0.8,0.385,0.7,1.5,0.54,0.4,0.3,0.6,0.706,0.2,0.7,0.9,0.5,0.2,0.3,0.2,0.5,2.5
Wenyen Gabriel,PF,22,SAC,11,0,5.5,0.5,1.5,0.5,0.1,0.7,0.13,0.5,0.8,0.519,0.5,0.5,0.9,0.864,0.4,0.5,0.9,0.3,0.3,0.2,0.5,0.6,1.7
Corey Brewer,PF,33,SAC,5,0,6.6,0.4,0.8,0.5,0,0.2,0.475,0.4,0.6,0.518,0.5,0.2,0.6,0.734,0.4,1.2,1.6,0.4,0.8,0,0.4,1.4,1
Anthony Tolliver,PF,34,SAC,9,0,9.1,0.3,1.9,0.531,0.2,1.7,0.324,0.1,0.2,0.47,0.535,0.1,0.2,0.784,0.2,1,1.2,0.3,0.4,0.1,0.4,0.7,1
DeMar DeRozan,SF,30,SAS,68,68,34.1,8.2,15.4,0.431,0.1,0.5,0.292,8.1,14.9,0.511,0.56,5.6,6.6,0.722,0.6,4.9,5.5,5.6,1,0.3,2.4,2.6,22.1
LaMarcus Aldridge,C,34,SAS,53,53,33.1,7.4,15,0.458,1.2,3,0.5,6.2,12,0.597,0.53,3,3.6,0.778,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9
Patty Mills,PG,31,SAS,66,1,22.5,3.9,9.1,0.417,2.3,6.1,0.5,1.6,3,0.503,0.544,1.5,1.7,0.563,0.3,1.3,1.6,1.8,0.8,0.1,0.8,1.6,11.6
Derrick White,SG,25,SAS,68,20,24.7,3.7,8.1,0.462,1.2,3.2,0.2,2.6,4.9,0.434,0.494,2.6,3.1,0.6,0.5,2.8,3.3,3.5,0.6,0.9,1.3,2.2,11.3
Bryn Forbes,SG,26,SAS,63,62,25.1,3.8,9.2,0.446,2.3,6,0.364,1.5,3.2,0.412,0.508,1.2,1.4,1,0.2,1.8,2,1.7,0.5,0,0.9,1.8,11.2
Dejounte Murray,PG,23,SAS,66,58,25.6,4.5,9.7,0.596,0.6,1.7,0.367,3.8,8,0.624,0.669,1.4,1.7,0.8,1,4.8,5.8,4.1,1.7,0.3,1.9,2.2,10.9
Rudy Gay,PF,33,SAS,67,5,21.8,4,8.9,0.446,1.1,3.3,0.332,2.9,5.6,0.25,0.541,1.8,2,0.375,0.9,4.5,5.4,1.7,0.5,0.5,1.3,1.5,10.8
Keldon Johnson,SF,20,SAS,17,1,17.7,3.1,5.2,0.426,0.8,1.3,0.143,2.4,3.9,0.636,0.483,2.1,2.6,0.809,0.6,2.8,3.4,0.9,0.8,0.1,0.8,1.6,9.1
Trey Lyles,PF,24,SAS,63,53,20.2,2.4,5.4,0.392,1,2.7,0.408,1.4,2.8,0.6,0.498,0.5,0.7,0.709,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,6.4
